SeqName	Description	Gene ID	log2FC	"baseMean
MtrBTN2"	"baseMean
Hemocytes"	FDR	"Confimed
Quanteval"
TRINITY_DN453_c0_g2_i1210288	Hypothetical predicted protein	 -	8.579792874	73.94029378	0	2.68E-22	TRUE
TRINITY_DN1197_c0_g1_i426244	Hypothetical predicted protein	 -	-6.280230726	16.44069432	1277.726977	2.83E-22	TRUE
TRINITY_DN2179_c0_g1_i1118730	Muscarinic acetylcholine receptor M3	CHRM3	9.979247406	195.0513922	0	6.45E-22	TRUE
TRINITY_DN5632_c0_g2_i2238024	Hypothetical predicted protein	 -	7.54382947	36.04380657	0	1.06E-21	TRUE
TRINITY_DN32_c0_g1_i4173392	Hypothetical predicted protein	 -	-7.057908119	36.75585287	4895.48535	1.13E-21	TRUE
TRINITY_DN5258_c0_g1_i1229896	Zinc finger SWIM domain-containing protein 8 	ZSWIM8	2.275639456	22.0207687	4.556166272	1.81E-21	TRUE
TRINITY_DN26928_c0_g2_i3149409	Hypothetical predicted protein	 -	-5.980468223	3.911552037	246.0630776	2.12E-21	TRUE
TRINITY_DN16_c1_g1_i178618	Trefoil factor 3	TFF3	-7.507721833	37.92971032	6895.813218	2.13E-21	TRUE
TRINITY_DN3891_c0_g1_i1192329	Hypothetical predicted protein	 -	-1.282762887	15.23374649	37.06323464	3.81E-21	TRUE
TRINITY_DN7040_c0_g1_i4265845	Large subunit GTPase 1 homolog	LSG1	1.275002278	23.72386867	9.788867659	7.86E-21	TRUE
TRINITY_DN25344_c1_g1_i1141933	Hypothetical predicted protein	 -	-3.151005646	18.84200889	167.2990159	4.10E-20	TRUE
TRINITY_DN678_c0_g1_i12260801	Hypothetical predicted protein	 -	10.42268643	265.2330836	0	4.81E-20	TRUE
TRINITY_DN3453_c0_g1_i4178469	Hypothetical predicted protein	 -	1.313574545	19.108271	7.68105906	1.08E-19	TRUE
TRINITY_DN698_c0_g1_i10264802	Hypothetical predicted protein	 -	8.521596066	71.00219844	0	1.52E-19	TRUE
TRINITY_DN52208_c0_g1_i2228980	Hypothetical predicted protein	 -	4.463395874	5.943802863	0.180009956	1.65E-19	TRUE
TRINITY_DN528_c0_g1_i4230642	"Glutaminase liver isoform, mitochondrial"	GLS2	5.510873376	8.815628327	0	2.36E-19	TRUE
TRINITY_DN1040_c0_g2_i15393	Complement C1q-like protein 2	C1QL2	-5.691315543	5.438830434	279.7475024	3.55E-19	TRUE
TRINITY_DN37616_c0_g1_i6188393	Hypothetical predicted protein	 -	5.206064964	7.128534179	0	3.55E-19	TRUE
TRINITY_DN698_c0_g2_i1264808	Hypothetical predicted protein	 -	8.052158617	51.29590488	0	5.31E-19	TRUE
TRINITY_DN16_c1_g1_i678624	Trefoil factor 3	TFF3	-7.564893819	39.03831636	7386.301377	9.85E-19	TRUE
TRINITY_DN1333_c0_g1_i241650	N-alpha-acetyltransferase 40	NAA40	2.232192836	148.7459073	31.66894694	1.03E-18	TRUE
TRINITY_DN60421_c0_g1_i1246599	Hypothetical predicted protein	 -	4.326327895	14.01628781	0.696245719	1.11E-18	TRUE
TRINITY_DN3792_c0_g2_i2189306	Tumor necrosis factor alpha-induced protein 8	TNFAIP8	-1.815204435	3.855413348	13.63332969	1.79E-18	TRUE
TRINITY_DN4554_c0_g1_i1210614	Chromodomain-helicase-DNA-binding protein 1	CHD1	2.512241208	24.88899307	4.361160037	1.84E-18	TRUE
TRINITY_DN2502_c0_g1_i1140432	Hypothetical predicted protein	 -	-3.658410987	22.92132155	289.7171222	3.64E-18	TRUE
TRINITY_DN68807_c0_g3_i1262569	Hypothetical predicted protein	 -	3.010644934	18.33219694	2.269982844	3.86E-18	TRUE
TRINITY_DN188_c0_g1_i795619	Cerebellin-3	CBLN3	-7.411664599	4.51932611	767.7342206	5.03E-18	TRUE
TRINITY_DN2722_c0_g1_i1150660	Hypothetical predicted protein	 -	-4.910096972	13.18499409	398.2722232	7.26E-18	TRUE
TRINITY_DN2989_c0_g2_i1161160	Dual oxidase maturation factor 1	DUOXA1	-3.516046529	49.76792742	568.6774026	7.71E-18	TRUE
TRINITY_DN1359_c0_g1_i344249	Hypothetical predicted protein	 -	11.08614264	586.2695849	0.180009956	8.93E-18	TRUE
TRINITY_DN358454_c0_g1_i1182812	Hypothetical predicted protein	 -	8.412566347	65.83393028	0	1.00E-17	TRUE
TRINITY_DN36628_c0_g1_i7185377	Hypothetical predicted protein	 -	4.619213901	4.745295654	0	1.31E-17	TRUE
TRINITY_DN1352_c0_g1_i143662	Hypothetical predicted protein	 -	-7.805581592	1.829532911	404.6017764	1.37E-17	TRUE
TRINITY_DN2115_c0_g3_i1114156	Hypothetical predicted protein	 -	-7.151015338	3.868154126	550.624838	2.22E-17	TRUE
TRINITY_DN4855_c0_g1_i1219260	Serine/threonine-protein phosphatase 2A activator 2	RRD2	-2.346103285	5.025333655	25.73775398	2.97E-17	TRUE
TRINITY_DN4723_c1_g1_i2215377	Mitochondrial pyruvate carrier 1	MPC1	1.819269882	43.74254793	12.39117523	3.60E-17	TRUE
TRINITY_DN1785_c0_g1_i187068	Cholecystokinin receptor type A	CCKAR	-4.329603981	5.714568277	114.4651165	3.74E-17	TRUE
TRINITY_DN40641_c0_g1_i2197443	Baculoviral IAP repeat-containing protein 7	BIRC7	2.292804493	6.02112295	1.229112888	4.07E-17	TRUE
TRINITY_DN1359_c0_g2_i144250	Hypothetical predicted protein	 -	9.237783475	227.217932	0.360019913	6.15E-17	TRUE
TRINITY_DN7495_c0_g1_i9273734	Oxysterol-binding protein-related protein 1	OSBPL1A	-4.685086265	0	4.254900959	7.69E-17	TRUE
TRINITY_DN8696_c0_g1_i11293102	Anoctamin-7	ANO7	-2.624887575	2.131787426	12.97830576	8.55E-17	TRUE
TRINITY_DN3192_c0_g4_i2169667	"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial"	NDUFV3	2.245879567	719.8599347	151.7373371	1.61E-16	TRUE
TRINITY_DN69353_c0_g1_i1263756	Hypothetical predicted protein	 -	-1.455107132	6.82731478	18.80055463	1.61E-16	TRUE
TRINITY_DN678_c0_g2_i1260808	Hypothetical predicted protein	 -	8.610972544	75.56222563	0	2.06E-16	TRUE
TRINITY_DN584_c0_g2_i1242658	Proteasome subunit beta type-4	PSMB4	1.654703616	284.2285257	90.2818743	2.22E-16	TRUE
TRINITY_DN829_c0_g3_i1287157	U6 snRNA-associated Sm-like protein LSm8	LSM8	4.444468202	331.4674582	15.21952045	2.62E-16	TRUE
TRINITY_DN115417_c0_g1_i220382	Hypothetical predicted protein	 -	10.7970274	343.8067214	0	4.49E-16	TRUE
TRINITY_DN241530_c1_g1_i2135243	Hypothetical predicted protein	 -	8.7701474	84.35506924	0	4.51E-16	TRUE
TRINITY_DN7404_c0_g1_i1272105	E3 ubiquitin-protein ligase TRIM33	TRIM33	5.089995546	6.582234069	0	4.71E-16	TRUE
TRINITY_DN5776_c0_g1_i2241146	KICSTOR complex protein C12orf66 homolog 	KICS2	-5.32211626	0.308624904	12.84394178	8.94E-16	TRUE
TRINITY_DN12335_c1_g2_i330662	Hypothetical predicted protein	 -	-6.148143113	2.102165409	148.5872835	9.79E-16	TRUE
TRINITY_DN4540_c0_g1_i11210301	Four and a half LIM domains protein 5	FHL5	-3.487918809	1.213318218	13.444068	1.43E-15	TRUE
TRINITY_DN78035_c0_g1_i1279093	Hypothetical predicted protein	 -	2.57067068	67.65067879	11.39747712	2.16E-15	TRUE
TRINITY_DN2043_c4_g2_i2108894	EMILIN-2	EMILIN2	-7.252496009	1.212283103	182.7978508	2.22E-15	TRUE
TRINITY_DN1218_c0_g1_i128953	Adenosine kinase	ADK	2.681543788	108.9518954	16.97642655	2.51E-15	TRUE
TRINITY_DN5632_c0_g4_i1238026	Hypothetical predicted protein	 -	5.429124189	8.320671	0	2.51E-15	TRUE
TRINITY_DN324_c0_g1_i1171800	Hypothetical predicted protein	 -	10.98475963	391.5936446	0	3.21E-15	TRUE
TRINITY_DN5440_c0_g1_i2234079	Hypothetical predicted protein	 -	4.846121721	20.13368231	0.696277142	3.71E-15	TRUE
TRINITY_DN14801_c0_g1_i458155	Hypothetical predicted protein	 -	8.533947694	71.6311103	0	4.27E-15	TRUE
TRINITY_DN5191_c0_g1_i7228262	B-cell CLL/lymphoma 7 protein family member A	BCL7A	1.075428503	56.13229651	26.62318157	4.73E-15	TRUE
TRINITY_DN1188_c0_g1_i225147	Iroquois-class homeodomain protein IRX-4	IRX4	-4.026473142	7.438194199	121.4672714	6.09E-15	TRUE
TRINITY_DN36004_c0_g1_i1183350	Hypothetical predicted protein	 -	5.62810632	9.556205732	0	6.19E-15	TRUE
TRINITY_DN32121_c0_g1_i2170432	Hypothetical predicted protein	 -	8.845100353	88.85647899	0	6.71E-15	TRUE
TRINITY_DN528_c0_g1_i3230640	"Glutaminase kidney isoform, mitochondrial"	GLS	11.15357792	440.1918954	0	9.47E-15	TRUE
TRINITY_DN1185_c0_g3_i124733	Hypothetical predicted protein	 -	-7.042951758	9.371563869	1233.948037	1.21E-14	TRUE
TRINITY_DN321_c0_g2_i1170747	Alpha-2-macroglobulin-like protein 1	A2ML1	-3.643627913	7.487962499	93.46559389	1.22E-14	TRUE
TRINITY_DN12092_c1_g2_i127559	Hypothetical predicted protein	 -	-6.04712337	3.909481807	257.9076917	1.78E-14	TRUE
TRINITY_DN5992_c0_g1_i15245496	Protein YAE1	YAE1	1.740124261	12.30213762	3.683038189	2.00E-14	TRUE
TRINITY_DN24389_c0_g3_i1136742	Hypothetical predicted protein	 -	5.6758848	1599.616091	31.27435593	2.05E-14	TRUE
TRINITY_DN11429_c1_g4_i118897	Hypothetical predicted protein	 -	-5.287161099	3.575375346	139.8280325	2.22E-14	TRUE
TRINITY_DN4400_c0_g1_i3206630	Hypothetical predicted protein	 -	-7.017905782	1.458398929	190.2932543	2.94E-14	TRUE
TRINITY_DN39456_c1_g1_i2193916	Hypothetical predicted protein	 -	4.32431114	3.869189242	0	4.16E-14	TRUE
TRINITY_DN565_c2_g1_i6238698	Hypothetical predicted protein	 -	-6.714096699	0	17.32002711	4.21E-14	TRUE
TRINITY_DN2786_c0_g1_i6153424	Visinin-like protein 1	VSNL1	-4.452363732	4.472663156	98.02147079	4.32E-14	TRUE
TRINITY_DN2405_c0_g1_i1134639	Vesicular glutamate transporter 1	SLC17A7	-6.115498323	1.49335622	103.5731098	6.50E-14	TRUE
TRINITY_DN2823_c0_g1_i3154965	"Glycerol-3-phosphate dehydrogenase, mitochondrial"	GPD2	-3.989886894	3.88400025	61.74893416	7.18E-14	TRUE
TRINITY_DN7581_c0_g1_i3275295	Transcription initiation factor TFIID subunit 2	TAF2	1.867186214	9.581687288	2.62485761	7.30E-14	TRUE
TRINITY_DN829_c0_g1_i2287156	U6 snRNA-associated Sm-like protein LSm8	LSM8	2.589742106	208.4748164	34.61384153	7.30E-14	TRUE
TRINITY_DN5813_c0_g1_i1242009	Tyrosine-protein kinase Fer	FER	-5.731517228	0.308624904	17.08043535	7.86E-14	TRUE
TRINITY_DN4069_c0_g1_i3197639	Protein F12	F12	-5.105333828	0	5.688694003	7.93E-14	TRUE
TRINITY_DN1956_c0_g1_i1100826	Transcription factor SOX-11	SOX11	3.518313468	186.0702166	16.22385763	8.10E-14	TRUE
TRINITY_DN40923_c1_g2_i1198365	RNA-directed DNA polymerase from mobile element jockey	jockey\pol	4.399048016	5.692351764	0.180009956	9.18E-14	TRUE
TRINITY_DN678_c0_g1_i1260797	Talin-1	TLN1	7.172723914	27.87297984	0	9.53E-14	TRUE
TRINITY_DN5491_c0_g1_i1235124	Myosin-1	MYH1	-2.463368479	4.493844554	24.76900276	1.02E-13	TRUE
TRINITY_DN148117_c0_g1_i258234	Hypothetical predicted protein	 -	4.834468578	50.00510688	1.762824728	1.50E-13	TRUE
TRINITY_DN5025_c0_g1_i3223877	Putative deoxyribonuclease TATDN1	TATDN1	4.331280177	3.890370639	0	1.53E-13	TRUE
TRINITY_DN1090_c0_g1_i1111276	Hypothetical predicted protein	 -	-6.563269355	3.569004957	338.0405892	1.83E-13	TRUE
TRINITY_DN5023_c0_g2_i3223812	Hypothetical predicted protein	 -	-4.974082112	2.446782719	75.54454706	2.10E-13	TRUE
TRINITY_DN23281_c1_g3_i2129117	Hypothetical predicted protein	 -	-7.604876043	0.918469208	175.2184435	2.16E-13	TRUE
TRINITY_DN5459_c0_g1_i16234453	Galectin-3-binding protein	LGALS3BP	1.933483693	19.40895103	5.070487089	2.59E-13	TRUE
TRINITY_DN1193_c0_g4_i125709	Hypothetical predicted protein	 -	-3.538649012	201.547534	2342.442796	2.74E-13	TRUE
TRINITY_DN24389_c0_g2_i2136740	Hypothetical predicted protein	 -	7.719149373	79.29565371	0.342606682	2.88E-13	TRUE
TRINITY_DN1356_c0_g2_i144016	Gag-Pro-Pol polyprotein	gag-pro-pol	6.289436021	68.38761148	0.869092975	2.98E-13	TRUE
TRINITY_DN3930_c0_g1_i13193436	Ribokinase	RBKS	4.020185053	8.512338696	0.519426201	4.17E-13	TRUE
TRINITY_DN698_c0_g1_i6264806	Hypothetical predicted protein	 -	9.243496053	117.1227657	0	4.95E-13	TRUE
TRINITY_DN324_c0_g1_i3171801	Hypothetical predicted protein	 -	8.042945845	50.97023904	0	5.65E-13	TRUE
TRINITY_DN55325_c1_g1_i1235884	"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"	MGAT2	3.172597174	9.495926581	1.060198133	5.65E-13	TRUE
TRINITY_DN98618_c2_g1_i1310809	GTP cyclohydrolase 1	GCH1	6.365147806	15.93572189	0	6.20E-13	TRUE
TRINITY_DN17089_c0_g2_i179631	Tetraspanin	 -	-4.531467744	4.522431456	104.1239927	8.36E-13	TRUE
TRINITY_DN863_c0_g2_i3292172	Fascin	FSCN1	-4.212850242	57.00551755	1057.350008	1.29E-12	TRUE
TRINITY_DN106929_c0_g1_i28826	Hypothetical predicted protein	 -	5.819075165	59.16382165	1.038852401	1.44E-12	TRUE
TRINITY_DN1217_c0_g1_i1428828	Zona pellucida sperm-binding protein 2	ZP2	-4.614101555	5.025333655	123.6518907	1.52E-12	TRUE
TRINITY_DN3230_c0_g1_i11171120	Hypothetical predicted protein	 -	8.435096336	66.86881733	0	1.64E-12	TRUE
TRINITY_DN26572_c0_g2_i1147786	Hypothetical predicted protein	 -	-8.359904682	2.740596615	895.9688244	1.72E-12	TRUE
TRINITY_DN8453_c0_g1_i5289464	Hypothetical predicted protein	 -	-3.613794572	0.59606841	7.30062103	1.88E-12	TRUE
TRINITY_DN1041_c0_g1_i65486	Hypothetical predicted protein	 -	4.299628438	295.1213746	14.96856733	1.94E-12	TRUE
TRINITY_DN46786_c0_g3_i1213965	Eukaryotic translation initiation factor 4H	EIF4H	1.610582763	43.13596867	14.11947029	2.28E-12	TRUE
TRINITY_DN957_c0_g1_i3306672	Opioid-binding protein/cell adhesion molecule	OPCML	-5.150508574	2.116976417	74.94482726	2.28E-12	FALSE
TRINITY_DN2775_c0_g1_i4152942	Plexin-A4	PLXNA4	7.594888144	72.78050465	0.342606682	2.71E-12	TRUE
TRINITY_DN55_c1_g1_i1237305	60S ribosomal protein L37	RPL37	-2.896580394	243.4211518	1812.43442	2.79E-12	TRUE
TRINITY_DN2048_c0_g1_i3109273	Thioredoxin	 -	-8.594811077	0.89728781	346.7169985	3.00E-12	TRUE
TRINITY_DN6239_c82_g1_i1250464	P-selectin	SELP	11.86565082	721.1084918	0	3.11E-12	TRUE
TRINITY_DN4862_c2_g2_i1219500	Hypothetical predicted protein	 -	7.583545445	72.17510802	0.356829475	3.39E-12	TRUE
TRINITY_DN50222_c0_g1_i11223752	Protein real-time	retm	3.612596474	3.301707734	0.176850941	3.99E-12	TRUE
TRINITY_DN698_c0_g3_i3264812	Ribosome biogenesis protein BOP1 homolog	BOP1	7.857118907	44.80532282	0	5.25E-12	TRUE
TRINITY_DN698_c0_g1_i12264803	Hypothetical predicted protein	 -	8.0431459	50.96114297	0	5.80E-12	TRUE
TRINITY_DN78078_c0_g1_i2279146	Leucine-rich repeat-containing protein 4B	LRRC4B	-5.859973443	0	9.577723683	6.20E-12	TRUE
TRINITY_DN10493_c0_g1_i116424	Hypothetical predicted protein	 -	8.19970012	56.82240655	0	6.22E-12	TRUE
TRINITY_DN1691_c0_g1_i577814	Integrin alpha-V	ITGAV	-3.424102938	5.663764861	60.89239857	6.55E-12	TRUE
TRINITY_DN1839_c0_g1_i491656	Hypothetical predicted protein	 -	-6.350552368	1.212283103	97.82607762	7.04E-12	TRUE
TRINITY_DN4144_c0_g1_i4199825	Hypothetical predicted protein	 -	4.477488531	11.68592293	0.519426201	7.47E-12	TRUE
TRINITY_DN816_c1_g1_i6285091	Hypothetical predicted protein	 -	-4.943473363	0.588662906	18.35056359	8.36E-12	TRUE
TRINITY_DN24333_c0_g1_i8136354	3-demethoxyubiquinol 3-hydroxylase	coq7	3.201445577	126.9927283	13.79181983	9.60E-12	TRUE
TRINITY_DN1149_c0_g1_i719806	Aldo-keto reductase family 1 member B1	AKR1B1	-2.74165829	14.93045686	99.87070951	1.11E-11	TRUE
TRINITY_DN8295_c0_g1_i3287086	Hypothetical predicted protein	 -	-7.702528059	0.903658199	187.4647269	1.17E-11	TRUE
TRINITY_DN6401_c0_g1_i1253571	Hypothetical predicted protein	 -	-5.487177979	0.3012194	14.42826797	1.17E-11	TRUE
TRINITY_DN52441_c1_g1_i2229579	Hypothetical predicted protein	 -	2.086267433	14.85624211	3.503935748	1.28E-11	TRUE
TRINITY_DN1432_c0_g2_i152969	Ubiquitin-40S ribosomal protein S27a	RPS27A	3.906530374	978.8169439	65.28115759	1.33E-11	TRUE
TRINITY_DN2775_c0_g2_i1152945	Plexin-A4	PLXNA4	3.959210098	179.306782	11.51971981	1.48E-11	TRUE
TRINITY_DN9146_c0_g3_i1300044	Eukaryotic translation initiation factor 3 subunit H	EIF3H	0.934293075	210.6164034	110.2280689	1.49E-11	TRUE
TRINITY_DN271_c0_g1_i1150548	CD209 antigen	CD209	-9.87468651	1.219688608	1136.420844	1.59E-11	TRUE
TRINITY_DN335321_c4_g1_i1175363	Cholecystokinin receptor type A	CCKAR	-5.358085699	0.889882306	36.76217652	1.60E-11	TRUE
TRINITY_DN66051_c0_g1_i1257317	Hypothetical predicted protein	 -	5.05349418	12.49004453	0.339416244	1.85E-11	TRUE
TRINITY_DN7678_c0_g1_i1276928	"Dihydroorotate dehydrogenase (quinone), mitochondrial"	DHODH	1.693220767	15.86477219	4.909836733	1.85E-11	TRUE
TRINITY_DN30486_c0_g1_i1163784	Hypothetical predicted protein	 -	7.087082236	71.29547297	0.522616638	2.36E-11	TRUE
TRINITY_DN38996_c0_g3_i1192593	Prefoldin subunit 2	PFDN2	3.508235126	23.71907276	2.077704802	2.45E-11	TRUE
TRINITY_DN1032_c0_g1_i24336	Actin-associated protein FAM107A 	FAM107A	-3.503942926	6.532465769	74.38149687	2.46E-11	TRUE
TRINITY_DN1450_c0_g1_i354762	Acidic mammalian chitinase	CHIA	-5.788537487	1.492321105	82.58357257	2.50E-11	TRUE
TRINITY_DN9121_c0_g1_i3299647	Coiled-coil domain-containing protein 42 	CCDC42	2.771167393	7.198448762	1.061371017	2.72E-11	TRUE
TRINITY_DN4365_c0_g1_i7205820	Secreted frizzled-related protein 3	SFRP3	7.379551217	32.17270679	0	2.78E-11	TRUE
TRINITY_DN2673_c0_g1_i10148575	Type-1 angiotensin II receptor	AGTR1	-3.098773118	5.937432474	51.1018593	2.80E-11	TRUE
TRINITY_DN392526_c0_g1_i6193302	Hypothetical predicted protein	 -	3.457316623	324.8382854	29.57359452	2.80E-11	TRUE
TRINITY_DN45526_c0_g1_i2210565	Fibronectin	FN1	6.61595823	18.95962155	0	2.83E-11	TRUE
TRINITY_DN3624_c2_g1_i1184130	PTB domain-containing engulfment adapter protein 1	GULP1	-2.486541331	7.508108782	41.93537776	3.25E-11	TRUE
TRINITY_DN8370_c1_g2_i1288100	Uromodulin	UMOD	5.97990007	12.18986024	0	3.33E-11	TRUE
TRINITY_DN1860_c0_g1_i893487	Hypothetical predicted protein	 -	4.765360258	52.29087903	1.918298515	3.41E-11	TRUE
TRINITY_DN10377_c0_g2_i74959	"Galactoside alpha-(1,2)-fucosyltransferase 2"	FUT2	4.347817753	85.58428938	4.203237875	3.55E-11	TRUE
TRINITY_DN2052_c0_g1_i11109595	Cholecystokinin receptor type A	CCKAR	-4.639213465	2.355686739	59.32716497	3.76E-11	TRUE
TRINITY_DN1294_c0_g2_i237346	Hypothetical predicted protein	 -	-1.618186909	148.2557023	455.0506081	4.12E-11	TRUE
TRINITY_DN33137_c0_g2_i1173827	Hypothetical predicted protein	 -	3.783931956	7.271468691	0.531694285	4.15E-11	TRUE
TRINITY_DN6830_c0_g1_i8261542	Carcinoembryonic antigen-related cell adhesion molecule 1	CEACAM1	6.240500233	14.60925087	0	4.58E-11	TRUE
TRINITY_DN5156_c0_g1_i1227471	cell division cycle 5-like protein	CDC5L	1.278618415	35.19797762	14.50915455	4.69E-11	TRUE
TRINITY_DN2664_c1_g1_i1148149	Acyl-CoA-binding domain-containing protein 6	ACBD6	6.87431668	185.8339247	1.593136487	4.94E-11	TRUE
TRINITY_DN5790_c0_g1_i9241511	Serine/threonine-protein kinase Chk1	CHEK1	1.690602113	18.08285969	5.615756373	4.94E-11	TRUE
TRINITY_DN8332_c0_g1_i8287615	Hepatocyte growth factor receptor	MET	-1.573782225	3.581745735	10.66973505	4.95E-11	TRUE
TRINITY_DN4878_c0_g1_i1219942	Hypothetical predicted protein	 -	5.481535219	8.630331019	0	5.06E-11	TRUE
TRINITY_DN177_c0_g1_i586609	"Double-headed protease inhibitor, submandibular gland"	 -	-7.418658661	4.521396341	772.3722687	5.12E-11	TRUE
TRINITY_DN1507_c0_g1_i360875	Hypothetical predicted protein	 -	-6.170092427	1.49335622	107.5590632	5.14E-11	TRUE
TRINITY_DN1462_c0_g1_i156103	PITH domain-containing protein 1	PITHD1	2.141084499	143.788418	32.62920431	5.70E-11	TRUE
TRINITY_DN6027_c0_g1_i10246227	Dipeptidyl peptidase 1	CTSC	2.132700291	18.34171629	4.179945774	5.70E-11	TRUE
TRINITY_DN9409_c0_g1_i4304257	EEF1A lysine methyltransferase 2	EEF1AKMT2	3.273881081	61.99961109	6.397594656	7.41E-11	TRUE
TRINITY_DN2986_c0_g1_i3160981	Hypothetical predicted protein	 -	3.017252434	131.8694395	16.29559959	7.76E-11	TRUE
TRINITY_DN9931_c0_g1_i3311680	Hypothetical predicted protein	 -	4.638400174	4.816245352	0	7.91E-11	TRUE
TRINITY_DN5834_c0_g1_i10242381	Mitochondrial import receptor subunit TOM40 homolog	TOMM40	1.746643594	25.77146987	7.682192181	8.01E-11	TRUE
TRINITY_DN9044_c0_g1_i5298439	Hypothetical predicted protein	 -	7.881545401	123.4007623	0.522616638	8.01E-11	TRUE
TRINITY_DN2319_c0_g1_i5128483	Prostaglandin E2 receptor EP4 subtype	PTGER4	-4.976719344	2.116976417	66.12402681	8.19E-11	TRUE
TRINITY_DN8301_c0_g1_i10287178	BTB/POZ domain-containing protein 3	BTBD3	3.59934319	8.491157299	0.696277142	8.60E-11	TRUE
TRINITY_DN1774_c0_g1_i186110	Hypothetical predicted protein	 -	-9.543008273	0.588662906	443.7234106	9.67E-11	TRUE
